unit,year,age,persons,male,female,pdf_page
UTTARAKHAND,2016,11,207,110,97,184
UTTARAKHAND,2021,11,190,102,89,184
UTTARAKHAND,2011,12,226,119,107,184
UTTARAKHAND,2016,12,211,112,99,184
UTTARAKHAND,2021,12,195,103,91,184
UTTARAKHAND,2011,13,226,119,107,184
UTTARAKHAND,2016,13,214,113,101,184
UTTARAKHAND,2021,13,198,105,93,184
UTTARAKHAND,2011,14,223,117,106,184
UTTARAKHAND,2016,14,217,115,102,184
UTTARAKHAND,2021,14,202,107,95,184
UTTARAKHAND,2011,15,222,116,106,184
UTTARAKHAND,2016,15,221,117,104,184
UTTARAKHAND,2021,15,206,109,96,184
UTTARAKHAND,2011,16,223,116,107,184
UTTARAKHAND,2016,16,226,119,107,184
UTTARAKHAND,2021,16,209,111,98,184
UTTARAKHAND,2011,17,221,115,106,184
UTTARAKHAND,2016,17,229,120,108,184
UTTARAKHAND,2021,17,213,113,100,184
UTTARAKHAND,2011,18,217,112,105,184
UTTARAKHAND,2016,18,228,120,108,184
UTTARAKHAND,2021,18,216,115,102,184
UTTARAKHAND,2011,19,210,108,102,184
UTTARAKHAND,2016,19,226,118,108,184
UTTARAKHAND,2021,19,220,116,104,184
UTTARAKHAND,2011,20,204,104,100,184
UTTARAKHAND,2016,20,226,118,108,184
UTTARAKHAND,2021,20,225,119,107,184
UTTARAKHAND,2011,21,200,101,99,184
UTTARAKHAND,2016,21,227,118,109,184
UTTARAKHAND,2021,21,230,121,109,184
UTTARAKHAND,2011,22,195,98,97,184
UTTARAKHAND,2016,22,225,116,108,184
UTTARAKHAND,2021,22,233,122,111,184
UTTARAKHAND,2011,23,189,95,94,184
UTTARAKHAND,2016,23,220,114,107,184
UTTARAKHAND,2021,23,233,122,111,184
UTTARAKHAND,2026,5,173,93,80,184
UTTARAKHAND,2031,5,167,89,78,184
UTTARAKHAND,2036,5,159,84,75,184
UTTARAKHAND,2026,6,174,94,80,184
UTTARAKHAND,2031,6,169,90,79,184
UTTARAKHAND,2036,6,162,85,77,184
UTTARAKHAND,2026,7,175,95,81,184
UTTARAKHAND,2031,7,170,91,79,184
UTTARAKHAND,2036,7,164,87,78,184
UTTARAKHAND,2026,8,176,95,80,184
UTTARAKHAND,2031,8,172,92,80,184
UTTARAKHAND,2036,8,166,88,78,184
UTTARAKHAND,2026,9,175,95,80,184
UTTARAKHAND,2031,9,173,93,80,184
UTTARAKHAND,2036,9,167,89,78,184
UTTARAKHAND,2026,10,173,95,78,184
UTTARAKHAND,2031,10,174,94,80,184
UTTARAKHAND,2036,10,168,90,79,184
UTTARAKHAND,2026,11,171,94,77,184
UTTARAKHAND,2031,11,175,95,80,184
UTTARAKHAND,2036,11,170,91,79,184
UTTARAKHAND,2026,12,172,95,77,184
UTTARAKHAND,2031,12,176,96,81,184
UTTARAKHAND,2036,12,171,92,79,184
UTTARAKHAND,2026,13,176,96,79,184
UTTARAKHAND,2031,13,177,96,81,184
UTTARAKHAND,2036,13,173,93,80,184
UTTARAKHAND,2026,14,182,99,83,184
UTTARAKHAND,2031,14,177,96,81,184
UTTARAKHAND,2036,14,175,94,81,184
UTTARAKHAND,2026,15,188,101,87,184
UTTARAKHAND,2031,15,175,96,79,184
UTTARAKHAND,2036,15,176,95,81,184
UTTARAKHAND,2026,16,193,103,90,184
UTTARAKHAND,2031,16,174,96,78,184
UTTARAKHAND,2036,16,178,97,82,184
UTTARAKHAND,2026,17,197,105,92,184
UTTARAKHAND,2031,17,175,96,79,184
UTTARAKHAND,2036,17,180,97,82,184
UTTARAKHAND,2026,18,201,107,95,184
UTTARAKHAND,2031,18,179,98,81,184
UTTARAKHAND,2036,18,181,98,83,184
UTTARAKHAND,2026,19,205,109,97,184
UTTARAKHAND,2031,19,186,101,85,184
UTTARAKHAND,2036,19,181,98,83,184
UTTARAKHAND,2026,20,210,111,99,184
UTTARAKHAND,2031,20,193,103,90,184
UTTARAKHAND,2036,20,180,98,82,184
UTTARAKHAND,2026,21,214,113,101,184
UTTARAKHAND,2031,21,198,105,93,184
UTTARAKHAND,2036,21,180,98,82,184
UTTARAKHAND,2026,22,218,115,103,184
UTTARAKHAND,2031,22,203,107,96,184
UTTARAKHAND,2036,22,181,99,82,184
UTTARAKHAND,2026,23,221,116,105,184
UTTARAKHAND,2031,23,207,109,98,184
UTTARAKHAND,2036,23,185,101,84,184
HARYANA,2011,5,493,270,223,188
HARYANA,2016,5,484,264,220,188
HARYANA,2021,5,495,270,225,188
HARYANA,2011,6,497,272,225,188
HARYANA,2016,6,479,261,218,188
HARYANA,2021,6,499,274,225,188
HARYANA,2011,7,502,275,227,188
HARYANA,2016,7,478,260,218,188
HARYANA,2021,7,500,275,225,188
HARYANA,2011,8,507,278,228,188
HARYANA,2016,8,481,262,219,188
HARYANA,2021,8,499,274,225,188
HARYANA,2011,9,512,281,230,188
HARYANA,2016,9,489,267,222,188
HARYANA,2021,9,495,272,224,188
HARYANA,2011,10,518,286,232,188
