Quarter Date,Sequence No,Dimension 1,Dimension 2,Dimension 3,Dimension 4,Measure 1,Measure 2,Measure 3,Measure 4,Measure 5,Measure 6,Measure 7,Measure 8
2025/09/30 00:00:00,9,JHARKHAND,,,,3084,1538535,228211194000,45186188,1456848336000,5246526,1993712624000,51971249
2026/03/31 00:00:00,19,NAGALAND,,,,230,65539,48250506000,1745599,81342995000,126316,65078123000,1937454
2024/06/30 00:00:00,34,LAKSHADWEEP,,,,25,4252,2452445000,87884,10358936000,4433,2574034000,96569
2024/03/31 00:00:00,11,SIKKIM,,,,176,63199,13122513000,1077847,47521733000,133739,86836886000,1274785
2024/03/31 00:00:00,30,SOUTHERN REGION,,,,40030,21375539,4772105088000,460843514,15313915821000,59974100,29504647537000,542193153
2024/06/30 00:00:00,41,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,,,,109,64872,13576682000,1548970,63960811000,206254,77900115000,1820096
2025/03/31 00:00:00,11,SIKKIM,,,,185,40505,11449063000,1132828,50013810000,144351,101440108000,1317684
2024/03/31 00:00:00,16,MANIPUR,,,,222,514948,25751405000,2646432,91392679000,92279,35193118000,3253659
2025/09/30 00:00:00,15,ASSAM,,,,2786,1060721,167924297000,42320414,983679225000,3978284,1119787669000,47359419
2026/03/31 00:00:00,17,MEGHALAYA,,,,300,86517,46524056000,2387602,141857386000,307636,159502175000,2781755
2024/09/30 00:00:00,19,NAGALAND,,,,211,78707,25781813000,1692758,78677804000,118649,53516105000,1890114
2024/03/31 00:00:00,36,TAMIL NADU,,,,12155,7454279,1348323222000,142714469,4184849876000,16928983,7704751579000,167097731
2023/12/31 00:00:00,28,PUNJAB,,,,6285,9508707,293024276000,51069356,2218153432000,9762044,3474675343000,70340107
2025/03/31 00:00:00,37,TELANGANA,,,,5329,2460094,937859462000,63297269,2495362865000,7298227,4957522139000,73055590
2023/06/30 00:00:00,24,HIMACHAL PRADESH,,,,1464,1556496,47063076000,10413977,480688557000,3122858,790072717000,
2026/03/31 00:00:00,22,CHANDIGARH,,,,463,163151,73713585000,3190944,361481916000,1284374,893710747000,4638469
2025/12/31 00:00:00,31,ANDHRA PRADESH,,,,6858,2647665,379223647000,80258879,1950052276000,7393118,2817565736000,90299662
2023/06/30 00:00:00,8,BIHAR,,,,5739,8422487,275456132000,111580221,2486685829000,7391778,1581232750000,
2025/06/30 00:00:00,1,CENTRAL REGION,,,,26475,14160856,1739065072000,412745501,12086081414000,45617565,15459532577000,472523922
2025/03/31 00:00:00,13,NORTH EASTERN REGION,,,,4332,1498025,398725305000,54250342,1651153974000,5076024,1603354840000,60824391
2024/09/30 00:00:00,36,TAMIL NADU,,,,12331,5756109,1342548809000,143346731,4190390189000,17027103,8115016596000,166129943
2024/03/31 00:00:00,19,NAGALAND,,,,196,90306,33248464000,1655593,84453763000,114504,52229508000,1860403
2025/12/31 00:00:00,11,SIKKIM,,,,190,42923,9329128000,1154083,46714226000,149945,113541567000,1346951
2025/06/30 00:00:00,41,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,,,,113,57479,14391388000,1587946,69021594000,220466,84345700000,1865891
2024/06/30 00:00:00,20,TRIPURA,,,,486,268566,18429395000,3355547,128612295000,467156,137696655000,4091269
2024/12/31 00:00:00,1,CENTRAL REGION,,,,25907,13711498,1692426664000,408997922,11753253137000,44117706,14392914830000,466827126
2025/03/31 00:00:00,10,ODISHA,,,,4921,1875980,345233374000,61739487,1943579870000,8139829,3269946819000,71755296
2023/09/30 00:00:00,29,RAJASTHAN,,,,6790,6960172,408950052000,83907734,2362721391000,10267745,3099774474000,101135651
2023/09/30 00:00:00,11,SIKKIM,,,,176,56285,8479490000,1050539,46212813000,133925,78746186000,1240749
2023/09/30 00:00:00,22,CHANDIGARH,,,,454,460720,73770408000,5102451,336132954000,1236428,640613871000,6799599
2023/12/31 00:00:00,29,RAJASTHAN,,,,6859,7463192,430757594000,84374993,2359871851000,10365088,3190747950000,102203273
2025/06/30 00:00:00,26,LADAKH,,,,99,91788,17075469000,501630,40791171000,89278,42123786000,682696
2024/03/31 00:00:00,22,CHANDIGARH,,,,466,480367,73641967000,3251899,363841233000,1247409,703402630000,4979675
2023/09/30 00:00:00,42,GOA,,,,671,264798,43752519000,4233524,299962950000,1873549,724043000000,6371871
2026/06/30 00:00:00,19,NAGALAND,,,,233,66522,32119923000,1758836,79714997000,132209,67722670000,1957567
2024/09/30 00:00:00,18,MIZORAM,,,,132,35030,7166411000,615326,51825041000,59884,46275488000,710240
2026/03/31 00:00:00,31,ANDHRA PRADESH,,,,6884,2245039,487376851000,80766547,2067653774000,7396129,2899669702000,90407715
2025/12/31 00:00:00,21,NORTHERN REGION,,,,26898,14636495,3725915180000,447593536,13924532373000,55819991,32265937054000,518050022
2025/12/31 00:00:00,15,ASSAM,,,,2795,1081690,166851062000,42606340,983682650000,3941597,1110379270000,47629627
2024/03/31 00:00:00,8,BIHAR,,,,5860,10263916,313564234000,109908547,2708147170000,7697965,1771131114000,127870428
2026/06/30 00:00:00,9,JHARKHAND,,,,3235,1484313,255234741000,45946834,1481201722000,5204736,2155983057000,52635883
2024/06/30 00:00:00,3,MADHYA PRADESH,,,,6407,5530525,355527133000,99173753,2319311148000,10645959,3238059688000,115350237
2023/03/31 00:00:00,37,TELANGANA,,,,4882,3222540,839230592000,61954599,2262058918000,6621005,3617565354000,
2024/03/31 00:00:00,5,UTTAR PRADESH,,,,14503,21862257,1143419266000,249077275,7189236846000,25071942,7856960621000,296011474
2023/03/31 00:00:00,25,JAMMU & KASHMIR,,,,1541,2571769,141908651000,16919135,649988863000,3065611,770948254000,
2025/09/30 00:00:00,2,CHHATTISGARH,,,,2584,1630794,193091116000,32875837,1100310187000,3743623,1274633146000,38250254
2024/06/30 00:00:00,7,ANDAMAN & NICOBAR ISLANDS,,,,75,32443,4682546000,514779,40157215000,120283,33687630000,667505
2026/06/30 00:00:00,34,LAKSHADWEEP,,,,18,4770,3355095000,95320,11086102000,4879,4156478000,104969
2023/03/31 00:00:00,10,ODISHA,,,,4546,3141779,260141192000,58363054,1689239699000,7162805,2450377229000,
2025/06/30 00:00:00,19,NAGALAND,,,,218,74574,33132573000,1756271,82834898000,127828,57750970000,1958673
2026/06/30 00:00:00,33,KERALA,,,,6938,1948190,540871906000,69715427,2753435519000,12763717,6581731730000,84427334
2026/06/30 00:00:00,17,MEGHALAYA,,,,302,88322,36723189000,2426463,135689615000,314285,165963999000,2829070
2023/06/30 00:00:00,9,JHARKHAND,,,,2860,2713043,183431746000,40423488,1207155621000,4608245,1565983555000,
2026/03/31 00:00:00,7,ANDAMAN & NICOBAR ISLANDS,,,,74,29996,6174565000,529362,40637711000,142660,48792278000,702018
2023/12/31 00:00:00,41,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,,,,106,88566,12121801000,1521057,63476360000,204711,75153681000,1814334
2025/12/31 00:00:00,17,MEGHALAYA,,,,302,94932,37695783000,2376336,133737234000,309372,157879339000,2780640
2024/03/31 00:00:00,25,JAMMU & KASHMIR,,,,1596,3002309,151638794000,16396028,665435869000,3244512,871081867000,22642849
2024/12/31 00:00:00,5,UTTAR PRADESH,,,,14842,7175457,1031365484000,257429372,7459615416000,25706925,8582211295000,290311754
2026/06/30 00:00:00,23,HARYANA,,,,5244,2335221,900824837000,100172955,2790336053000,9492786,6313274519000,112000962
2025/03/31 00:00:00,15,ASSAM,,,,2761,1031140,172925715000,41421469,985027335000,3793237,1055699191000,46245846
2023/12/31 00:00:00,16,MANIPUR,,,,220,511112,19189017000,2617344,86692670000,93046,33393985000,3221502
2023/06/30 00:00:00,7,ANDAMAN & NICOBAR ISLANDS,,,,71,37008,4469816000,503195,39728155000,108542,27378887000,
2025/03/31 00:00:00,38,WESTERN REGION,,,,23617,25904523,8735509029000,307194621,13288649068000,58390488,43963147973000,391489632
2023/06/30 00:00:00,35,PUDUCHERRY,,,,225,133244,15778793000,2643683,97365673000,353795,148763041000,
2024/09/30 00:00:00,1,CENTRAL REGION,,,,25725,23558775,1776756199000,394882641,11529235359000,43952498,14209134058000,462393914
2024/09/30 00:00:00,22,CHANDIGARH,,,,466,278429,80450461000,3193761,377721771000,1261732,737470237000,4733922
2023/09/30 00:00:00,20,TRIPURA,,,,471,449820,17605475000,3292382,123105612000,456719,124269702000,4198921
